Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-C-O-NO    , PROJECT-5-GO-HOLDET, READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE     , PROJECT-5-PYTHON-MS-WORLD-WIDES 
10         , 25000            , 100            , 200        , 1    , 0.5787990093231201                      , 0.03209805488586426 , 0.14546871185302734, 0.25514817237854004, 0.028466224670410156, 0.016448974609375   , 3.614154100418091               
10         , 25000            , 100            , 200        , 1    , 0.5770189762115479                      , 0.03171896934509277 , 0.15140604972839355, 0.25177693367004395, 0.02792191505432129 , 0.01570606231689453 , 3.6679580211639404              
10         , 25000            , 100            , 200        , 1    , 0.5704729557037354                      , 0.03176283836364746 , 0.14726662635803223, 0.253277063369751  , 0.02787494659423828 , 0.016082763671875   , 3.615067958831787               
10         , 25000            , 100            , 200        , 1    , 0.584632158279419                       , 0.031839847564697266, 0.14597296714782715, 0.2519869804382324 , 0.027444124221801758, 0.01614999771118164 , 3.6480729579925537              
10         , 25000            , 100            , 200        , 1    , 0.5715510845184326                      , 0.03301095962524414 , 0.14902782440185547, 0.25556111335754395, 0.028710126876831055, 0.015812158584594727, 3.643604040145874               
10         , 25000            , 100            , 200        , 1    , 0.5788290500640869                      , 0.04114484786987305 , 0.14963269233703613, 0.2515840530395508 , 0.029597997665405273, 0.0157623291015625  , 3.604336977005005               
10         , 25000            , 100            , 200        , 2    , 0.6112461090087891                      , 0.037069082260131836, 0.15638518333435059, 0.29972028732299805, 0.031048297882080078, 0.017678022384643555, 4.3904640674591064              
10         , 25000            , 100            , 200        , 2    , 0.6165101528167725                      , 0.035401105880737305, 0.1550431251525879 , 0.29691314697265625, 0.030125856399536133, 0.01752614974975586 , 4.372002840042114               
10         , 25000            , 100            , 200        , 2    , 0.600916862487793                       , 0.03507089614868164 , 0.1596391201019287 , 0.29909682273864746, 0.03266406059265137 , 0.017332077026367188, 4.388031005859375               
10         , 25000            , 100            , 200        , 2    , 0.6026811599731445                      , 0.035144805908203125, 0.1544952392578125 , 0.29760003089904785, 0.031831979751586914, 0.017340898513793945, 4.403806924819946               
10         , 25000            , 100            , 200        , 2    , 0.6078760623931885                      , 0.03509998321533203 , 0.15298986434936523, 0.2992379665374756 , 0.03050708770751953 , 0.017911195755004883, 4.394153118133545               
10         , 25000            , 100            , 200        , 2    , 0.5992038249969482                      , 0.034956932067871094, 0.1518557071685791 , 0.2999439239501953 , 0.029989004135131836, 0.017128944396972656, 4.371978998184204               
10         , 25000            , 100            , 200        , 2    , 0.6075537204742432                      , 0.03515815734863281 , 0.15261507034301758, 0.3000190258026123 , 0.03074502944946289 , 0.01725006103515625 , 4.39487099647522                
10         , 25000            , 100            , 200        , 2    , 0.5994172096252441                      , 0.03507876396179199 , 0.15222787857055664, 0.2968871593475342 , 0.03049302101135254 , 0.017160892486572266, 4.641075134277344               
10         , 25000            , 100            , 200        , 2    , 0.6031200885772705                      , 0.034982919692993164, 0.15292882919311523, 0.2980461120605469 , 0.0301210880279541  , 0.017726898193359375, 4.434865951538086               
10         , 25000            , 100            , 200        , 2    , 0.6018879413604736                      , 0.03497505187988281 , 0.1570901870727539 , 0.2987220287322998 , 0.030331134796142578, 0.017112016677856445, 4.474538087844849               
10         , 25000            , 100            , 200        , 2    , 0.6106181144714355                      , 0.035221099853515625, 0.15282392501831055, 0.2962977886199951 , 0.02987813949584961 , 0.017180919647216797, 4.400151968002319               
10         , 25000            , 100            , 200        , 2    , 0.6047399044036865                      , 0.03507709503173828 , 0.15454506874084473, 0.2997598648071289 , 0.030167102813720703, 0.0170748233795166  , 4.399377107620239               
10         , 25000            , 100            , 200        , 2    , 0.6130008697509766                      , 0.03502774238586426 , 0.1518399715423584 , 0.298961877822876  , 0.030473947525024414, 0.01742410659790039 , 4.382439851760864               
10         , 25000            , 100            , 200        , 2    , 0.6058669090270996                      , 0.03502917289733887 , 0.15303397178649902, 0.2983269691467285 , 0.029977083206176758, 0.01705193519592285 , 4.402166128158569               
10         , 25000            , 100            , 200        , 2    , 0.5978739261627197                      , 0.03455185890197754 , 0.152540922164917  , 0.29823923110961914, 0.029980897903442383, 0.01780986785888672 , 4.365861892700195               
