Chromosomes, Chromosome length, PROJECT-5-PYTHON-ASG, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-PYTHON-ILLITERATE-APES, PROJECT-5-GO-HOLDET, PROJECT-5-C-O-NO  , READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE      
10         , 2500             , 1.1699888706207275  , 0.30515193939208984                     , 10.41890811920166               , 2.7082438468933105 , 0.5822241306304932, 0.48187804222106934, 0.09000086784362793 , 0.05646800994873047  
10         , 2500             , 0.18893790245056152 , 0.23154306411743164                     , 9.915035247802734               , 2.6375198364257812 , 0.5277349948883057, 0.281588077545166  , 0.014137983322143555, 0.009373903274536133 
10         , 2500             , 0.18741607666015625 , 0.24499297142028809                     , 10.098307847976685              , 2.69938588142395   , 0.5308089256286621, 0.300396203994751  , 0.013375997543334961, 0.009505033493041992 
10         , 2500             , 0.20744872093200684 , 0.2472381591796875                      , 9.947395086288452               , 2.770885944366455  , 0.5311839580535889, 0.31730198860168457, 0.013286828994750977, 0.009546279907226562 
10         , 2500             , 0.20267081260681152 , 0.24260711669921875                     , 9.95470905303955                , 2.694550037384033  , 0.531029224395752 , 0.3227860927581787 , 0.013541936874389648, 0.008980035781860352 
10         , 2500             , 0.19199299812316895 , 0.2421250343322754                      , 9.930726051330566               , 2.680938959121704  , 0.5375750064849854, 0.3066251277923584 , 0.01258397102355957 , 0.009201288223266602 
10         , 2500             , 0.21202492713928223 , 0.24104928970336914                     , 10.045008897781372              , 2.7460038661956787 , 0.5290420055389404, 0.30852413177490234, 0.01248788833618164 , 0.008966207504272461 
10         , 2500             , 0.19078874588012695 , 0.24366092681884766                     , 10.010859966278076              , 2.741743803024292  , 0.5268669128417969, 0.30015015602111816, 0.013563871383666992, 0.008663177490234375 
10         , 2500             , 0.20864105224609375 , 0.2399003505706787                      , 9.984010934829712               , 2.70227313041687   , 0.5305988788604736, 0.30977773666381836, 0.012469053268432617, 0.008739233016967773 
10         , 2500             , 0.1983649730682373  , 0.23862385749816895                     , 9.884474992752075               , 2.685326099395752  , 0.530987024307251 , 0.30799198150634766, 0.012086629867553711, 0.008593082427978516 
10         , 2500             , 0.19820594787597656 , 0.2433617115020752                      , 9.920838117599487               , 2.6494479179382324 , 0.5301611423492432, 0.2983112335205078 , 0.01222991943359375 , 0.008684158325195312 
10         , 2500             , 0.19290494918823242 , 0.24333596229553223                     , 10.02646803855896               , 2.6974539756774902 , 0.5294790267944336, 0.3123970031738281 , 0.012108802795410156, 0.008772134780883789 
10         , 2500             , 0.22614216804504395 , 0.24164199829101562                     , 9.971872091293335               , 2.702120304107666  , 0.5272467136383057, 0.3168151378631592 , 0.012657880783081055, 0.009160995483398438 
10         , 2500             , 0.19690179824829102 , 0.24126815795898438                     , 10.01088809967041               , 2.6567728519439697 , 0.530606746673584 , 0.32184910774230957, 0.012228727340698242, 0.008908987045288086 
10         , 2500             , 0.22243690490722656 , 0.2391948699951172                      , 9.951318979263306               , 2.6410329341888428 , 0.5307161808013916, 0.30646610260009766, 0.011919021606445312, 0.008635759353637695 
10         , 2500             , 0.20795893669128418 , 0.2398819923400879                      , 10.068817853927612              , 2.672189950942993  , 0.5317990779876709, 0.2981448173522949 , 0.012311935424804688, 0.008760213851928711 
10         , 2500             , 0.1883838176727295  , 0.24179983139038086                     , 10.036340951919556              , 2.6423702239990234 , 0.5308358669281006, 0.3043062686920166 , 0.01188206672668457 , 0.00855708122253418  
10         , 2500             , 0.20094728469848633 , 0.2436997890472412                      , 9.94437026977539                , 2.6298611164093018 , 0.5298278331756592, 0.31747984886169434, 0.012354850769042969, 0.008563995361328125 
10         , 2500             , 0.18692302703857422 , 0.23885798454284668                     , 9.884658336639404               , 2.628322124481201  , 0.526763916015625 , 0.30764174461364746, 0.012460947036743164, 0.00848698616027832  
10         , 2500             , 0.1978762149810791  , 0.24338912963867188                     , 10.271543025970459              , 2.6290371417999268 , 0.5293989181518555, 0.3066737651824951 , 0.012797832489013672, 0.008646011352539062 
10         , 5000             , 0.2537729740142822  , 0.46622419357299805                     , 40.29982614517212               , 10.572857856750488 , 2.084136962890625 , 0.4354219436645508 , 0.023778200149536133, 0.01774883270263672  
10         , 5000             , 0.24819493293762207 , 0.44869518280029297                     , 40.35496282577515               , 10.588797807693481 , 2.073329210281372 , 0.43357110023498535, 0.01914191246032715 , 0.012813806533813477 
10         , 5000             , 0.24563026428222656 , 0.45070385932922363                     , 41.36845397949219               , 10.600188970565796 , 2.0888500213623047, 0.43709897994995117, 0.019093036651611328, 0.012627363204956055 
10         , 5000             , 0.2570838928222656  , 0.4409520626068115                      , 40.30134701728821               , 10.615977048873901 , 2.0829060077667236, 0.42957210540771484, 0.019670963287353516, 0.012224912643432617 
10         , 5000             , 0.24065184593200684 , 0.44036197662353516                     , 40.20547795295715               , 10.459712982177734 , 2.0903470516204834, 0.4314138889312744 , 0.01908588409423828 , 0.013002157211303711 
10         , 5000             , 0.25954508781433105 , 0.44651126861572266                     , 40.20626211166382               , 10.584039211273193 , 2.084642171859741 , 0.4257791042327881 , 0.018873214721679688, 0.013154983520507812 
10         , 5000             , 0.2651689052581787  , 0.4562249183654785                      , 40.29461407661438               , 10.520011901855469 , 2.090806007385254 , 0.43309998512268066, 0.018854141235351562, 0.013206958770751953 
10         , 5000             , 0.27456116676330566 , 0.44515180587768555                     , 40.42871594429016               , 10.503243923187256 , 2.0930042266845703, 0.425800085067749  , 0.019152164459228516, 0.013558149337768555 
