Chromosomes, Chromosome length, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-C-O-NO  , PROJECT-5-GO-HOLDET, READMAP-PYTHON    , READMAP-GO         , READMAP-C-CMAKE     , PROJECT-5-PYTHON-MS-WORLD-WIDES 
10         , 25000            , 2.1723620891571045                      , 52.00497317314148 , 265.16531682014465 , 3.412351131439209 , 0.13269495964050293, 0.08695602416992188 , 2.098834753036499               
10         , 25000            , 2.161094903945923                       , 51.95163130760193 , 265.2072970867157  , 1.285742998123169 , 0.06389093399047852, 0.04387688636779785 , 2.1417958736419678              
10         , 25000            , 2.1431212425231934                      , 51.84369087219238 , 262.8669321537018  , 1.4208309650421143, 0.06498885154724121, 0.04282021522521973 , 2.0995190143585205              
10         , 25000            , 2.1647980213165283                      , 51.8462860584259  , 265.52181005477905 , 1.4413318634033203, 0.06447792053222656, 0.04229307174682617 , 2.2136390209198                 
10         , 25000            , 2.190692186355591                       , 51.74243402481079 , 265.5480899810791  , 1.4410929679870605, 0.0646977424621582 , 0.04235506057739258 , 1.8325319290161133              
10         , 25000            , 2.2076950073242188                      , 51.77942490577698 , 262.51934576034546 , 1.4226949214935303, 0.06589889526367188, 0.04247570037841797 , 1.838979959487915               
10         , 25000            , 2.1820640563964844                      , 51.72377014160156 , 265.6950783729553  , 1.2729601860046387, 0.06425809860229492, 0.04218602180480957 , 1.8844218254089355              
10         , 25000            , 2.2015459537506104                      , 51.80565524101257 , 262.6577970981598  , 1.276235818862915 , 0.06478524208068848, 0.04273509979248047 , 1.8232381343841553              
10         , 25000            , 2.2845299243927                         , 51.68180775642395 , 262.8893828392029  , 1.2770240306854248, 0.06461906433105469, 0.04246401786804199 , 1.8040177822113037              
10         , 25000            , 2.2387521266937256                      , 51.66857695579529 , 265.4873151779175  , 1.2721350193023682, 0.06483197212219238, 0.042510271072387695, 1.897632122039795               
10         , 25000            , 2.161648988723755                       , 51.72433924674988 , 264.98582100868225 , 1.2732539176940918, 0.0649709701538086 , 0.04258990287780762 , 1.831740140914917               
10         , 25000            , 2.1922640800476074                      , 52.15815496444702 , 265.59702920913696 , 1.273751974105835 , 0.06501293182373047, 0.04233193397521973 , 1.8317570686340332              
10         , 25000            , 2.1552200317382812                      , 53.8800106048584  , 262.83349108695984 , 1.2762410640716553, 0.06445574760437012, 0.042266130447387695, 1.8232700824737549              
10         , 25000            , 2.441781997680664                       , 52.546385049819946, 265.57561802864075 , 1.2823259830474854, 0.06530475616455078, 0.04269289970397949 , 1.8376119136810303              
10         , 25000            , 2.222721815109253                       , 52.24513387680054 , 264.3836851119995  , 1.2719759941101074, 0.06459903717041016, 0.044150590896606445, 1.822387933731079               
10         , 25000            , 2.1910130977630615                      , 52.59242916107178 , 265.1781749725342  , 1.2691681385040283, 0.06469488143920898, 0.043398141860961914, 1.8257038593292236              
10         , 25000            , 2.230515956878662                       , 52.422536849975586, 263.1071219444275  , 1.2768917083740234, 0.06409096717834473, 0.049011945724487305, 1.8196182250976562              
10         , 25000            , 2.1946332454681396                      , 51.79558491706848 , 265.45807790756226 , 1.277634620666504 , 0.06464982032775879, 0.04270577430725098 , 1.8306450843811035              
10         , 25000            , 2.2520227432250977                      , 53.64290499687195 , 265.7073001861572  , 1.3705317974090576, 0.06574010848999023, 0.04253697395324707 , 1.8183128833770752              
10         , 25000            , 2.2462000846862793                      , 53.88853192329407 , 266.0151102542877  , 1.454200029373169 , 0.06486296653747559, 0.042777299880981445, 1.8225600719451904              
10         , 50000            , 5.119704008102417                       , 211.94877576828003, 1064.6899530887604 , 2.8067100048065186, 0.1335008144378662 , 0.08628606796264648 , 6.24071192741394                
10         , 50000            , 5.210899114608765                       , 212.476411819458  , 1052.556988954544  , 2.5911338329315186, 0.1251063346862793 , 0.08235383033752441 , 5.666435956954956               
10         , 50000            , 5.10062313079834                        , 213.05832767486572, 1066.3559119701385 , 2.4515299797058105, 0.12291097640991211, 0.08276987075805664 , 5.629215240478516               
10         , 50000            , 5.195158004760742                       , 210.4358811378479 , 1069.8501002788544 , 2.4702038764953613, 0.1222231388092041 , 0.08276724815368652 , 5.706265211105347               
10         , 50000            , 5.194767713546753                       , 209.99017596244812, 1064.288079738617  , 2.4515719413757324, 0.12231683731079102, 0.0831608772277832  , 6.079540967941284               
10         , 50000            , 5.275377988815308                       , 209.89478516578674, 1059.4714500904083 , 2.457897186279297 , 0.12165403366088867, 0.08328008651733398 , 6.020074129104614               
10         , 50000            , 5.349960088729858                       , 208.65340280532837, 1075.19384598732   , 2.45467209815979  , 0.1219017505645752 , 0.08180975914001465 , 5.622941255569458               
10         , 50000            , 5.180910110473633                       , 208.63572597503662, 1071.8887448310852 , 2.4590559005737305, 0.12236380577087402, 0.08282303810119629 , 5.581989049911499               
10         , 50000            , 5.3235180377960205                      , 208.64287900924683, 1065.6819682121277 , 2.457998752593994 , 0.12467002868652344, 0.08257794380187988 , 5.600384950637817               
10         , 50000            , 5.276556015014648                       , 209.42881107330322, 1069.40940117836   , 2.472627878189087 , 0.1269979476928711 , 0.08438706398010254 , 5.593211889266968               
10         , 50000            , 5.237746238708496                       , 209.00547122955322, 1057.1230189800262 , 2.454368829727173 , 0.1359717845916748 , 0.08271288871765137 , 5.602159738540649               
10         , 50000            , 5.191390037536621                       , 209.52484130859375, 1075.179400920868  , 2.4556400775909424, 0.1326920986175537 , 0.08222007751464844 , 5.633268117904663               
