Chromosomes, Chromosome length, Number of reads, Read length, Edits, PROJECT-5-PYTHON-ASG, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-PYTHON-ILLITERATE-APES, PROJECT-5-GO-HOLDET , PROJECT-5-C-O-NO    , READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE       
10         , 2500             , 100            , 50         , 1    , 8.235235929489136   , 0.1654982566833496                      , 984.281976222992                , 0.054222822189331055, 0.020537853240966797, 0.8178267478942871 , 0.037024736404418945, 0.02074122428894043   
10         , 2500             , 100            , 50         , 1    , 8.239574193954468   , 0.09783577919006348                     , 984.7163181304932               , 0.023941755294799805, 0.008911848068237305, 0.1846621036529541 , 0.009210824966430664, 0.006215810775756836  
10         , 2500             , 100            , 50         , 1    , 8.251429080963135   , 0.09790682792663574                     , 984.5682599544525               , 0.02458024024963379 , 0.009132862091064453, 0.20178771018981934, 0.008954048156738281, 0.006275177001953125  
10         , 2500             , 100            , 50         , 1    , 8.15485429763794    , 0.09875726699829102                     , 984.0356290340424               , 0.023244857788085938, 0.009124040603637695, 0.21486306190490723, 0.009546995162963867, 0.006767988204956055  
10         , 2500             , 100            , 50         , 1    , 8.143413066864014   , 0.09768080711364746                     , 1012.267431974411               , 0.02299213409423828 , 0.008909940719604492, 0.21663618087768555, 0.009916067123413086, 0.006908893585205078  
10         , 2500             , 100            , 50         , 1    , 8.315919160842896   , 0.09765410423278809                     , 986.8148143291473               , 0.02326798439025879 , 0.008733034133911133, 0.215087890625     , 0.008932113647460938, 0.006451845169067383  
10         , 2500             , 100            , 50         , 1    , 8.16398286819458    , 0.09826111793518066                     , 981.5159459114075               , 0.022790908813476562, 0.008625030517578125, 0.20656800270080566, 0.008913755416870117, 0.00651097297668457   
10         , 2500             , 100            , 50         , 1    , 8.142815113067627   , 0.09835505485534668                     , 987.2713668346405               , 0.0239717960357666  , 0.008574247360229492, 0.20940589904785156, 0.009042024612426758, 0.00637507438659668   
10         , 2500             , 100            , 50         , 1    , 8.311203241348267   , 0.09769916534423828                     , 984.16565990448                 , 0.022370100021362305, 0.008873939514160156, 0.21305203437805176, 0.009063959121704102, 0.006173849105834961  
10         , 2500             , 100            , 50         , 1    , 8.159804105758667   , 0.09848403930664062                     , 986.0575377941132               , 0.02364373207092285 , 0.00860905647277832 , 0.19745898246765137, 0.009224891662597656, 0.006482124328613281  
10         , 2500             , 100            , 50         , 1    , 8.187544107437134   , 0.09792470932006836                     , 980.2611970901489               , 0.02472400665283203 , 0.00870203971862793 , 0.19179320335388184, 0.008896827697753906, 0.0063629150390625    
