Chromosomes, Chromosome length, PROJECT-5-PYTHON-ARMANDO-CHRISTIAN-PEREZ, PROJECT-5-PYTHON-TEAM, PROJECT-5-PYTHON-MS-WORLD-WIDES, PROJECT-5-GO-HOLDET, PROJECT-5-C-O-NO  , READMAP-PYTHON     , READMAP-GO          , READMAP-C-CMAKE      
10         , 2500             , 0.2356739044189453                      , 0.5456252098083496   , 0.22859525680541992            , 2.586850166320801  , 0.5451159477233887, 0.6521992683410645 , 0.0879971981048584  , 0.01964592933654785  
10         , 2500             , 0.24120283126831055                     , 0.14624834060668945  , 0.11983203887939453            , 2.562627077102661  , 0.5296459197998047, 0.31294894218444824, 0.01353597640991211 , 0.009213924407958984 
10         , 2500             , 0.22764372825622559                     , 0.13747191429138184  , 0.12380695343017578            , 2.599324941635132  , 0.5430059432983398, 0.3441438674926758 , 0.012925863265991211, 0.00857400894165039  
10         , 2500             , 0.22791695594787598                     , 0.1369647979736328   , 0.12068605422973633            , 2.5998551845550537 , 0.5324289798736572, 0.33289623260498047, 0.012984991073608398, 0.00908803939819336  
10         , 2500             , 0.22744131088256836                     , 0.13848090171813965  , 0.1216580867767334             , 2.549806833267212  , 0.5313208103179932, 0.298198938369751  , 0.013191938400268555, 0.00919198989868164  
10         , 2500             , 0.22807788848876953                     , 0.13681721687316895  , 0.1242818832397461             , 2.575514316558838  , 0.5267846584320068, 0.33635592460632324, 0.01276397705078125 , 0.009105920791625977 
10         , 2500             , 0.22590398788452148                     , 0.13544797897338867  , 0.12180614471435547            , 2.6244096755981445 , 0.5425841808319092, 0.3151090145111084 , 0.013203144073486328, 0.009167194366455078 
10         , 2500             , 0.2245020866394043                      , 0.14555811882019043  , 0.12077903747558594            , 2.5603950023651123 , 0.5918259620666504, 0.3053309917449951 , 0.012881755828857422, 0.008459806442260742 
10         , 2500             , 0.22505402565002441                     , 0.13911223411560059  , 0.12018036842346191            , 2.5833029747009277 , 0.5361721515655518, 0.31716299057006836, 0.012943744659423828, 0.009299039840698242 
10         , 2500             , 0.2335066795349121                      , 0.13900423049926758  , 0.12079310417175293            , 2.57875919342041   , 0.5341577529907227, 0.3219728469848633 , 0.012291193008422852, 0.008582830429077148 
10         , 2500             , 0.22850799560546875                     , 0.13813185691833496  , 0.12269306182861328            , 2.6420371532440186 , 0.5260009765625   , 0.3305060863494873 , 0.012126922607421875, 0.008871078491210938 
10         , 2500             , 0.23131513595581055                     , 0.1384410858154297   , 0.12195396423339844            , 2.5896010398864746 , 0.5264570713043213, 0.32712388038635254, 0.012224912643432617, 0.008487939834594727 
10         , 2500             , 0.2312767505645752                      , 0.1377108097076416   , 0.11966896057128906            , 2.5880281925201416 , 0.5262577533721924, 0.326322078704834  , 0.012866020202636719, 0.009090900421142578 
10         , 2500             , 0.22757411003112793                     , 0.13795804977416992  , 0.12217211723327637            , 2.5914113521575928 , 0.5213298797607422, 0.320601224899292  , 0.012479066848754883, 0.00925302505493164  
10         , 2500             , 0.2308650016784668                      , 0.1440718173980713   , 0.12060689926147461            , 2.6258716583251953 , 0.5328142642974854, 0.3244040012359619 , 0.012830018997192383, 0.009018898010253906 
10         , 2500             , 0.23303914070129395                     , 0.14486193656921387  , 0.11938309669494629            , 2.8718597888946533 , 0.5389888286590576, 0.31116676330566406, 0.012714147567749023, 0.00882101058959961  
10         , 2500             , 0.23131203651428223                     , 0.1365509033203125   , 0.1197350025177002             , 2.597646951675415  , 0.5302488803863525, 0.3263533115386963 , 0.012354612350463867, 0.008623123168945312 
10         , 2500             , 0.2298130989074707                      , 0.13710808753967285  , 0.12007665634155273            , 2.628880262374878  , 0.525733232498169 , 0.3177669048309326 , 0.011931896209716797, 0.008617877960205078 
10         , 2500             , 0.2291719913482666                      , 0.13804101943969727  , 0.1215519905090332             , 2.6016199588775635 , 0.52618408203125  , 0.31385087966918945, 0.013304948806762695, 0.008717060089111328 
10         , 2500             , 0.22600221633911133                     , 0.13840985298156738  , 0.12038803100585938            , 2.6279680728912354 , 0.5383532047271729, 0.31365299224853516, 0.011657953262329102, 0.008690118789672852 
10         , 5000             , 0.4343397617340088                      , 0.32506513595581055  , 0.23698711395263672            , 10.580571174621582 , 2.1378769874572754, 0.4573659896850586 , 0.02390313148498535 , 0.016504764556884766 
10         , 5000             , 0.4240000247955322                      , 0.3313453197479248   , 0.23943614959716797            , 10.592772245407104 , 2.0998411178588867, 0.4449501037597656 , 0.019444942474365234, 0.012903213500976562 
10         , 5000             , 0.4224519729614258                      , 0.28740501403808594  , 0.23674917221069336            , 10.619627952575684 , 2.1077370643615723, 0.4440791606903076 , 0.018088102340698242, 0.012675762176513672 
10         , 5000             , 0.4257240295410156                      , 0.28314876556396484  , 0.2391040325164795             , 10.539484024047852 , 2.1233317852020264, 0.45220112800598145, 0.019093990325927734, 0.012432098388671875 
10         , 5000             , 0.4295978546142578                      , 0.29492783546447754  , 0.237900972366333              , 10.54908800125122  , 2.090649127960205 , 0.42816710472106934, 0.019790172576904297, 0.012732982635498047 
10         , 5000             , 0.42567992210388184                     , 0.2845330238342285   , 0.2377948760986328             , 10.715219974517822 , 2.07779598236084  , 0.46302199363708496, 0.019296646118164062, 0.01304316520690918  
10         , 5000             , 0.4354970455169678                      , 0.2897331714630127   , 0.23638105392456055            , 10.794452905654907 , 2.1142468452453613, 0.4694540500640869 , 0.01918816566467285 , 0.013195037841796875 
10         , 5000             , 0.42013001441955566                     , 0.28848886489868164  , 0.26843810081481934            , 10.759785890579224 , 2.088196277618408 , 0.46414995193481445, 0.019320964813232422, 0.013512134552001953 
